person,number,tense,voice,mood,conjugation,ending 
third,singular,perfect,passive,subjunctive,fourth, sit
first,plural,perfect,passive,subjunctive,fourth, sīmus 
second,plural,perfect,passive,subjunctive,fourth, sītis
third,plural,perfect,passive,subjunctive,fourth, sint
first,singular,perfect,passive,subjunctive,third/fourth, sim
second,singular,perfect,passive,subjunctive,third/fourth, sīs
third,singular,perfect,passive,subjunctive,third/fourth, sit
first,plural,perfect,passive,subjunctive,third/fourth, sīmus 
second,plural,perfect,passive,subjunctive,third/fourth, sītis
third,plural,perfect,passive,subjunctive,third/fourth, sint
second,singular,present,active,imperative ,first,ā
second,plural,present,active,imperative ,first,āte
second,singular,present,active,imperative ,second,ē
second,plural,present,active,imperative ,second,ēte
second,singular,present,active,imperative ,third,e
second,plural,present,active,imperative ,third,ete
second,singular,present,active,imperative ,fourth,ī
second,plural,present,active,imperative ,fourth,īte
second,singular,present,active,imperative ,third/fourth,e
second,plural,present,active,imperative ,third/fourth,ete
